Landing page,Sessions,Engagement rate,demo_request,trial_signup
https://example-wp-support.io/,1387,0.45,17,4
https://example-wp-support.io/pricing,124,0.60,8,2
https://example-wp-support.io/contact,42,0.74,7,1
https://example-wp-support.io/support-plans,70,0.62,0,0
https://example-wp-support.io/how-we-help,26,1.0,0,0
https://example-wp-support.io/how-to-transfer-your-domain-to-cloudflare,890,0.34,1,0
https://example-wp-support.io/google-tag-assistant,410,0.31,1,0
https://example-wp-support.io/blog/how-to-transfer-your-dns-to-cloudflare,29,0.38,0,0
https://example-wp-support.io/careers,347,0.05,0,0
https://example-wp-support.io/about,38,0.50,0,0
