Page,Query,Impressions,Clicks,Position
https://example-wp-support.io/how-to-transfer-your-domain-to-cloudflare,transfer domain to cloudflare,18100,95,9.2
https://example-wp-support.io/how-to-transfer-your-domain-to-cloudflare,cloudflare domain transfer,2400,18,11.4
https://example-wp-support.io/how-to-transfer-your-domain-to-cloudflare,cloudflare domain names,18100,42,17.1
https://example-wp-support.io/google-tag-assistant,google tag assistant,3600,28,7.0
https://example-wp-support.io/google-tag-assistant,google tag lookup,890,6,9.5
https://example-wp-support.io/blog/how-to-transfer-your-dns-to-cloudflare,migrate dns to cloudflare,1540,12,8.2
https://example-wp-support.io/how-we-help,wordpress maintenance,420,2,28.5
https://example-wp-support.io/how-we-help,wordpress support plans,180,1,32.0
https://example-wp-support.io/pricing,example wp support pricing,5400,62,7.4
https://example-wp-support.io/pricing,wordpress support pricing,2200,18,12.3
https://example-wp-support.io/support-plans,wordpress support plans,30400,21,15.2
https://example-wp-support.io/support-plans,managed wordpress support,8200,8,18.6
https://example-wp-support.io/contact,contact wordpress support,1045,2,2.3
https://example-wp-support.io/,example wp support,9800,55,9.1
